invoice_id,order_date,customer_id,branch,city,customer_type,gender,product_line,unit_price,quantity,payment,gross_margin_ratio
670-71-7306,01/02/19,98,B,Bekasi,Normal,Male,Sports and travel,312410.0,6,Credit card,4.761904762
446-47-6729,01/02/19,176,C,Bogor,Normal,Male,Fashion accessories,698740.0,2,Credit card,4.761904762
244-08-0162,01/02/19,114,B,Bekasi,Normal,Female,Health and beauty,239470.0,10,Cash,4.761904762
198-84-7132,01/02/19,125,B,Bekasi,Member,Male,Fashion accessories,284270.0,9,Cash,4.761904762
744-09-5786,01/02/19,85,B,Bekasi,Normal,Male,Electronic accessories,154070.0,6,Cash,4.761904762
712-39-0363,01/02/19,44,A,Jakarta,Member,Male,Food and beverages,291620.0,6,Ewallet,4.761904762
345-68-9016,01/02/19,233,C,Bogor,Member,Female,Sports and travel,221690.0,8,Credit card,4.761904762
670-71-7306,01/02/19,99,B,Bekasi,Normal,Male,Sports and travel,312410.0,6,Credit card,4.761904762
249-42-3782,01/03/19,9,A,Jakarta,Normal,Male,Health and beauty,490070.00000000006,5,Ewallet,4.761904762
749-24-1565,01/03/19,28,A,Jakarta,Normal,Female,Health and beauty,161210.0,9,Ewallet,4.761904762
687-15-1097,01/03/19,223,C,Bogor,Member,Female,Health and beauty,147840.0,2,Cash,4.761904762
422-29-8786,01/03/19,29,A,Jakarta,Normal,Female,Home and lifestyle,469630.0,5,Credit card,4.761904762
343-87-0864,01/03/19,210,C,Bogor,Member,Male,Health and beauty,531160.0,1,Credit card,4.761904762
875-31-8302,01/03/19,94,B,Bekasi,Normal,Male,Sports and travel,653660.0,1,Cash,4.761904762
501-61-1753,01/03/19,114,B,Bekasi,Normal,Female,Home and lifestyle,442050.0,6,Ewallet,4.761904762
552-44-5977,01/03/19,132,B,Bekasi,Member,Male,Health and beauty,434000.0,8,Credit card,4.761904762
749-24-1565,01/03/19,23,A,Jakarta,Normal,Female,Health and beauty,161210.0,9,Ewallet,4.761904762
687-15-1097,01/03/19,240,C,Bogor,Member,Female,Health and beauty,147840.0,2,Cash,4.761904762
422-29-8786,01/03/19,40,A,Jakarta,Normal,Female,Home and lifestyle,469630.0,5,Credit card,4.761904762
343-87-0864,01/03/19,209,C,Bogor,Member,Male,Health and beauty,531160.0,1,Credit card,4.761904762
875-31-8302,01/03/19,95,B,Bekasi,Normal,Male,Sports and travel,653660.0,1,Cash,4.761904762
501-61-1753,01/03/19,106,B,Bekasi,Normal,Female,Home and lifestyle,442050.0,6,Ewallet,4.761904762
552-44-5977,01/03/19,135,B,Bekasi,Member,Male,Health and beauty,434000.0,8,Credit card,4.761904762
279-74-2924,01/04/19,128,B,Bekasi,Member,Male,Electronic accessories,505190.0,1,Cash,4.761904762
672-51-8681,01/04/19,225,C,Bogor,Member,Female,Electronic accessories,466550.00000000006,9,Credit card,4.761904762
656-16-1063,01/04/19,90,B,Bekasi,Normal,Male,Sports and travel,324940.0,3,Credit card,4.761904762
731-14-2199,01/04/19,70,A,Jakarta,Member,Female,Home and lifestyle,248780.0,10,Ewallet,4.761904762
725-32-9708,01/04/19,156,B,Bekasi,Member,Female,Fashion accessories,480969.99999999994,4,Cash,4.761904762
132-23-6451,01/04/19,49,A,Jakarta,Member,Male,Health and beauty,146790.0,5,Cash,4.761904762
672-51-8681,01/04/19,238,C,Bogor,Member,Female,Electronic accessories,466550.00000000006,9,Credit card,4.761904762
656-16-1063,01/04/19,86,B,Bekasi,Normal,Male,Sports and travel,324940.0,3,Credit card,4.761904762
731-14-2199,01/04/19,79,A,Jakarta,Member,Female,Home and lifestyle,248780.0,10,Ewallet,4.761904762
725-32-9708,01/04/19,149,B,Bekasi,Member,Female,Fashion accessories,480969.99999999994,4,Cash,4.761904762
132-23-6451,01/04/19,59,A,Jakarta,Member,Male,Health and beauty,146790.0,5,Cash,4.761904762
750-67-8428,01/05/19,73,A,Jakarta,Member,Female,Health and beauty,522830.0,7,Ewallet,4.761904762
628-34-3388,01/05/19,177,C,Bogor,Normal,Male,Fashion accessories,191660.0,6,Credit card,4.761904762
217-58-1179,01/05/19,41,A,Jakarta,Member,Male,Home and lifestyle,438550.0,4,Cash,4.761904762
144-51-6085,01/05/19,53,A,Jakarta,Member,Male,Home and lifestyle,495179.99999999994,4,Credit card,4.761904762
843-01-4703,01/05/19,144,B,Bekasi,Member,Female,Home and lifestyle,247660.00000000003,9,Credit card,4.761904762
573-98-8548,01/05/19,230,C,Bogor,Member,Female,Fashion accessories,223300.0,1,Ewallet,4.761904762
209-61-0206,01/05/19,27,A,Jakarta,Normal,Female,Home and lifestyle,300370.0,5,Ewallet,4.761904762
339-12-4827,01/05/19,150,B,Bekasi,Member,Female,Fashion accessories,517719.99999999994,1,Credit card,4.761904762
841-18-8232,01/05/19,113,B,Bekasi,Normal,Female,Food and beverages,498400.0,1,Credit card,4.761904762
801-88-0346,01/05/19,182,C,Bogor,Normal,Female,Fashion accessories,532420.0,3,Credit card,4.761904762
433-08-7822,01/05/19,182,C,Bogor,Normal,Female,Health and beauty,552230.0,7,Ewallet,4.761904762
489-82-1237,01/05/19,23,A,Jakarta,Normal,Female,Electronic accessories,657160.0,7,Credit card,4.761904762
217-58-1179,01/05/19,48,A,Jakarta,Member,Male,Home and lifestyle,438550.0,4,Cash,4.761904762
144-51-6085,01/05/19,48,A,Jakarta,Member,Male,Home and lifestyle,495179.99999999994,4,Credit card,4.761904762
843-01-4703,01/05/19,144,B,Bekasi,Member,Female,Home and lifestyle,247660.00000000003,9,Credit card,4.761904762
573-98-8548,01/05/19,232,C,Bogor,Member,Female,Fashion accessories,223300.0,1,Ewallet,4.761904762
209-61-0206,01/05/19,25,A,Jakarta,Normal,Female,Home and lifestyle,300370.0,5,Ewallet,4.761904762
339-12-4827,01/05/19,153,B,Bekasi,Member,Female,Fashion accessories,517719.99999999994,1,Credit card,4.761904762
841-18-8232,01/05/19,112,B,Bekasi,Normal,Female,Food and beverages,498400.0,1,Credit card,4.761904762
801-88-0346,01/05/19,191,C,Bogor,Normal,Female,Fashion accessories,532420.0,3,Credit card,4.761904762
433-08-7822,01/05/19,184,C,Bogor,Normal,Female,Health and beauty,552230.0,7,Ewallet,4.761904762
489-82-1237,01/05/19,21,A,Jakarta,Normal,Female,Electronic accessories,657160.0,7,Credit card,4.761904762
393-65-2792,01/06/19,174,C,Bogor,Normal,Male,Food and beverages,626360.0,10,Credit card,4.761904762
704-11-6354,01/06/19,59,A,Jakarta,Member,Male,Home and lifestyle,412300.0,8,Cash,4.761904762
490-29-1201,01/06/19,39,A,Jakarta,Normal,Female,Sports and travel,107380.0,1,Cash,4.761904762
834-25-9262,01/06/19,188,C,Bogor,Normal,Female,Fashion accessories,571760.0,4,Cash,4.761904762
662-72-2873,01/06/19,29,A,Jakarta,Normal,Female,Food and beverages,286580.0,5,Ewallet,4.761904762
826-58-8051,01/06/19,83,B,Bekasi,Normal,Male,Home and lifestyle,435330.0,4,Ewallet,4.761904762
729-06-2010,01/06/19,123,B,Bekasi,Member,Male,Health and beauty,563290.0,9,Cash,4.761904762
852-82-2749,01/06/19,2,A,Jakarta,Normal,Male,Sports and travel,452130.0,4,Ewallet,4.761904762
846-10-0341,01/06/19,27,A,Jakarta,Normal,Female,Fashion accessories,297990.0,7,Cash,4.761904762
704-11-6354,01/06/19,58,A,Jakarta,Member,Male,Home and lifestyle,412300.0,8,Cash,4.761904762
490-29-1201,01/06/19,38,A,Jakarta,Normal,Female,Sports and travel,107380.0,1,Cash,4.761904762
834-25-9262,01/06/19,198,C,Bogor,Normal,Female,Fashion accessories,571760.0,4,Cash,4.761904762
662-72-2873,01/06/19,31,A,Jakarta,Normal,Female,Food and beverages,286580.0,5,Ewallet,4.761904762
826-58-8051,01/06/19,88,B,Bekasi,Normal,Male,Home and lifestyle,435330.0,4,Ewallet,4.761904762
729-06-2010,01/06/19,136,B,Bekasi,Member,Male,Health and beauty,563290.0,9,Cash,4.761904762
852-82-2749,01/06/19,15,A,Jakarta,Normal,Male,Sports and travel,452130.0,4,Ewallet,4.761904762
846-10-0341,01/06/19,29,A,Jakarta,Normal,Female,Fashion accessories,297990.0,7,Cash,4.761904762
232-16-2483,01/07/19,240,C,Bogor,Member,Female,Sports and travel,476840.00000000006,1,Ewallet,4.761904762
109-28-2512,01/07/19,160,B,Bekasi,Member,Female,Fashion accessories,683270.0,6,Ewallet,4.761904762
799-71-1548,01/07/19,59,A,Jakarta,Member,Male,Electronic accessories,544040.0,4,Credit card,4.761904762
126-54-1082,01/07/19,66,A,Jakarta,Member,Female,Home and lifestyle,150780.0,9,Credit card,4.761904762
566-19-5475,01/07/19,87,B,Bekasi,Normal,Male,Fashion accessories,335790.0,7,Cash,4.761904762
526-86-8552,01/07/19,225,C,Bogor,Member,Female,Home and lifestyle,152740.0,10,Cash,4.761904762
889-04-9723,01/07/19,149,B,Bekasi,Member,Female,Food and beverages,623980.0,4,Credit card,4.761904762
541-48-8554,01/07/19,11,A,Jakarta,Normal,Male,Sports and travel,426650.0,9,Credit card,4.761904762
390-31-6381,01/07/19,175,C,Bogor,Normal,Male,Food and beverages,190540.0,3,Cash,4.761904762
799-71-1548,01/07/19,43,A,Jakarta,Member,Male,Electronic accessories,544040.0,4,Credit card,4.761904762
126-54-1082,01/07/19,74,A,Jakarta,Member,Female,Home and lifestyle,150780.0,9,Credit card,4.761904762
566-19-5475,01/07/19,88,B,Bekasi,Normal,Male,Fashion accessories,335790.0,7,Cash,4.761904762
526-86-8552,01/07/19,228,C,Bogor,Member,Female,Home and lifestyle,152740.0,10,Cash,4.761904762
889-04-9723,01/07/19,159,B,Bekasi,Member,Female,Food and beverages,623980.0,4,Credit card,4.761904762
541-48-8554,01/07/19,17,A,Jakarta,Normal,Male,Sports and travel,426650.0,9,Credit card,4.761904762
390-31-6381,01/07/19,161,C,Bogor,Normal,Male,Food and beverages,190540.0,3,Cash,4.761904762
189-08-9157,01/08/19,196,C,Bogor,Normal,Female,Fashion accessories,222110.0,9,Credit card,4.761904762
663-86-9076,01/08/19,238,C,Bogor,Member,Female,Food and beverages,479780.00000000006,8,Ewallet,4.761904762
571-94-0759,01/08/19,141,B,Bekasi,Member,Female,Food and beverages,522199.99999999994,10,Cash,4.761904762
750-57-9686,01/08/19,195,C,Bogor,Normal,Female,Home and lifestyle,317660.0,4,Credit card,4.761904762
192-98-7397,01/08/19,172,C,Bogor,Normal,Male,Fashion accessories,89460.0,1,Ewallet,4.761904762
674-15-9296,01/08/19,13,A,Jakarta,Normal,Male,Sports and travel,259980.0,5,Ewallet,4.761904762
387-49-4215,01/08/19,148,B,Bekasi,Member,Female,Sports and travel,339500.0,3,Cash,4.761904762
484-22-8230,01/08/19,229,C,Bogor,Member,Female,Fashion accessories,363230.0,7,Cash,4.761904762
241-96-5076,01/08/19,145,B,Bekasi,Member,Female,Home and lifestyle,343700.0,2,Credit card,4.761904762
767-97-4650,01/08/19,156,B,Bekasi,Member,Female,Sports and travel,453810.0,2,Credit card,4.761904762
442-44-6497,01/08/19,214,C,Bogor,Member,Male,Home and lifestyle,388990.0,3,Credit card,4.761904762
457-13-1708,01/08/19,137,B,Bekasi,Member,Male,Fashion accessories,456610.0,10,Credit card,4.761904762
257-60-7754,01/08/19,23,A,Jakarta,Normal,Female,Electronic accessories,351610.0,4,Cash,4.761904762
845-94-6841,01/08/19,239,C,Bogor,Member,Female,Food and beverages,510159.99999999994,9,Cash,4.761904762
840-76-5966,01/08/19,57,A,Jakarta,Member,Male,Sports and travel,89320.0,2,Ewallet,4.761904762
124-31-1458,01/08/19,79,A,Jakarta,Member,Female,Electronic accessories,557130.0,3,Cash,4.761904762
631-34-1880,01/08/19,207,C,Bogor,Member,Male,Food and beverages,170170.0,3,Credit card,4.761904762
490-95-0021,01/08/19,155,B,Bekasi,Member,Female,Food and beverages,232470.0,10,Ewallet,4.761904762
571-94-0759,01/08/19,144,B,Bekasi,Member,Female,Food and beverages,522199.99999999994,10,Cash,4.761904762
750-57-9686,01/08/19,183,C,Bogor,Normal,Female,Home and lifestyle,317660.0,4,Credit card,4.761904762
192-98-7397,01/08/19,164,C,Bogor,Normal,Male,Fashion accessories,89460.0,1,Ewallet,4.761904762
674-15-9296,01/08/19,4,A,Jakarta,Normal,Male,Sports and travel,259980.0,5,Ewallet,4.761904762
387-49-4215,01/08/19,152,B,Bekasi,Member,Female,Sports and travel,339500.0,3,Cash,4.761904762
484-22-8230,01/08/19,229,C,Bogor,Member,Female,Fashion accessories,363230.0,7,Cash,4.761904762
241-96-5076,01/08/19,150,B,Bekasi,Member,Female,Home and lifestyle,343700.0,2,Credit card,4.761904762
767-97-4650,01/08/19,145,B,Bekasi,Member,Female,Sports and travel,453810.0,2,Credit card,4.761904762
442-44-6497,01/08/19,203,C,Bogor,Member,Male,Home and lifestyle,388990.0,3,Credit card,4.761904762
457-13-1708,01/08/19,126,B,Bekasi,Member,Male,Fashion accessories,456610.0,10,Credit card,4.761904762
257-60-7754,01/08/19,37,A,Jakarta,Normal,Female,Electronic accessories,351610.0,4,Cash,4.761904762
845-94-6841,01/08/19,232,C,Bogor,Member,Female,Food and beverages,510159.99999999994,9,Cash,4.761904762
840-76-5966,01/08/19,50,A,Jakarta,Member,Male,Sports and travel,89320.0,2,Ewallet,4.761904762
124-31-1458,01/08/19,75,A,Jakarta,Member,Female,Electronic accessories,557130.0,3,Cash,4.761904762
631-34-1880,01/08/19,207,C,Bogor,Member,Male,Food and beverages,170170.0,3,Credit card,4.761904762
490-95-0021,01/08/19,159,B,Bekasi,Member,Female,Food and beverages,232470.0,10,Ewallet,4.761904762
263-10-3913,01/09/19,214,C,Bogor,Member,Male,Fashion accessories,343280.0,9,Credit card,4.761904762
554-42-2417,01/09/19,200,C,Bogor,Normal,Female,Sports and travel,668080.0,10,Cash,4.761904762
370-96-0655,01/09/19,198,C,Bogor,Normal,Female,Fashion accessories,345240.0,6,Ewallet,4.761904762
343-75-9322,01/09/19,151,B,Bekasi,Member,Female,Sports and travel,82950.0,8,Cash,4.761904762
288-62-1085,01/09/19,50,A,Jakarta,Member,Male,Fashion accessories,269780.0,5,Ewallet,4.761904762
305-89-2768,01/09/19,143,B,Bekasi,Member,Female,Home and lifestyle,153300.0,3,Ewallet,4.761904762
867-47-1948,01/09/19,188,C,Bogor,Normal,Female,Home and lifestyle,110600.0,10,Cash,4.761904762
189-40-5216,01/09/19,176,C,Bogor,Normal,Male,Electronic accessories,674590.0,7,Cash,4.761904762
554-42-2417,01/09/19,196,C,Bogor,Normal,Female,Sports and travel,668080.0,10,Cash,4.761904762
370-96-0655,01/09/19,181,C,Bogor,Normal,Female,Fashion accessories,345240.0,6,Ewallet,4.761904762
343-75-9322,01/09/19,153,B,Bekasi,Member,Female,Sports and travel,82950.0,8,Cash,4.761904762
288-62-1085,01/09/19,42,A,Jakarta,Member,Male,Fashion accessories,269780.0,5,Ewallet,4.761904762
305-89-2768,01/09/19,159,B,Bekasi,Member,Female,Home and lifestyle,153300.0,3,Ewallet,4.761904762
867-47-1948,01/09/19,190,C,Bogor,Normal,Female,Home and lifestyle,110600.0,10,Cash,4.761904762
189-40-5216,01/09/19,162,C,Bogor,Normal,Male,Electronic accessories,674590.0,7,Cash,4.761904762
665-32-9167,01/10/19,77,A,Jakarta,Member,Female,Health and beauty,253820.0,2,Credit card,4.761904762
640-49-2076,01/10/19,84,B,Bekasi,Normal,Male,Sports and travel,586460.0,8,Cash,4.761904762
873-51-0671,01/10/19,76,A,Jakarta,Member,Female,Sports and travel,153860.0,7,Ewallet,4.761904762
744-02-5987,01/10/19,50,A,Jakarta,Member,Male,Home and lifestyle,548660.0,6,Ewallet,4.761904762
603-07-0961,01/10/19,208,C,Bogor,Member,Male,Electronic accessories,523530.00000000006,5,Cash,4.761904762
241-11-2261,01/10/19,108,B,Bekasi,Normal,Female,Fashion accessories,559020.0,7,Credit card,4.761904762
887-42-0517,01/10/19,182,C,Bogor,Normal,Female,Sports and travel,581980.0,7,Credit card,4.761904762
226-34-0034,01/10/19,115,B,Bekasi,Normal,Female,Electronic accessories,96460.0,4,Ewallet,4.761904762
577-34-7579,01/10/19,219,C,Bogor,Member,Male,Food and beverages,353430.0,9,Cash,4.761904762
744-02-5987,01/10/19,58,A,Jakarta,Member,Male,Home and lifestyle,548660.0,6,Ewallet,4.761904762
603-07-0961,01/10/19,201,C,Bogor,Member,Male,Electronic accessories,523530.00000000006,5,Cash,4.761904762
241-11-2261,01/10/19,117,B,Bekasi,Normal,Female,Fashion accessories,559020.0,7,Credit card,4.761904762
887-42-0517,01/10/19,183,C,Bogor,Normal,Female,Sports and travel,581980.0,7,Credit card,4.761904762
226-34-0034,01/10/19,107,B,Bekasi,Normal,Female,Electronic accessories,96460.0,4,Ewallet,4.761904762
577-34-7579,01/10/19,213,C,Bogor,Member,Male,Food and beverages,353430.0,9,Cash,4.761904762
746-68-6593,01/11/19,224,C,Bogor,Member,Female,Sports and travel,610120.0,2,Credit card,4.761904762
478-06-7835,01/11/19,5,A,Jakarta,Normal,Male,Fashion accessories,627830.0,1,Ewallet,4.761904762
540-11-4336,01/11/19,4,A,Jakarta,Normal,Male,Food and beverages,174580.0,9,Credit card,4.761904762
289-15-7034,01/11/19,51,A,Jakarta,Member,Male,Sports and travel,576310.0,4,Credit card,4.761904762
732-67-5346,01/11/19,18,A,Jakarta,Normal,Male,Food and beverages,96530.0,5,Credit card,4.761904762
130-67-4723,01/11/19,52,A,Jakarta,Member,Male,Food and beverages,339500.0,6,Ewallet,4.761904762
592-46-1692,01/11/19,234,C,Bogor,Member,Female,Food and beverages,257390.00000000003,7,Cash,4.761904762
406-46-7107,01/11/19,23,A,Jakarta,Normal,Female,Home and lifestyle,675640.0,6,Cash,4.761904762
746-68-6593,01/11/19,234,C,Bogor,Member,Female,Sports and travel,610120.0,2,Credit card,4.761904762
478-06-7835,01/11/19,18,A,Jakarta,Normal,Male,Fashion accessories,627830.0,1,Ewallet,4.761904762
540-11-4336,01/11/19,8,A,Jakarta,Normal,Male,Food and beverages,174580.0,9,Credit card,4.761904762
289-15-7034,01/11/19,48,A,Jakarta,Member,Male,Sports and travel,576310.0,4,Credit card,4.761904762
732-67-5346,01/11/19,18,A,Jakarta,Normal,Male,Food and beverages,96530.0,5,Credit card,4.761904762
130-67-4723,01/11/19,57,A,Jakarta,Member,Male,Food and beverages,339500.0,6,Ewallet,4.761904762
592-46-1692,01/11/19,222,C,Bogor,Member,Female,Food and beverages,257390.00000000003,7,Cash,4.761904762
406-46-7107,01/11/19,31,A,Jakarta,Normal,Female,Home and lifestyle,675640.0,6,Cash,4.761904762
381-20-0914,01/12/19,69,A,Jakarta,Member,Female,Fashion accessories,140070.0,9,Credit card,4.761904762
704-48-3927,01/12/19,60,A,Jakarta,Member,Male,Electronic accessories,620690.0,10,Ewallet,4.761904762
659-36-1684,01/12/19,203,C,Bogor,Member,Male,Sports and travel,399840.0,7,Credit card,4.761904762
848-07-1692,01/12/19,110,B,Bekasi,Normal,Female,Health and beauty,400540.0,2,Ewallet,4.761904762
296-11-7041,01/12/19,160,B,Bekasi,Member,Female,Health and beauty,189490.0,1,Credit card,4.761904762
647-50-1224,01/12/19,31,A,Jakarta,Normal,Female,Fashion accessories,205940.0,10,Ewallet,4.761904762
852-62-7105,01/12/19,116,B,Bekasi,Normal,Female,Fashion accessories,582750.0,10,Credit card,4.761904762
751-41-9720,01/12/19,165,C,Bogor,Normal,Male,Home and lifestyle,682500.0,10,Ewallet,4.761904762
197-77-7132,01/12/19,131,B,Bekasi,Member,Male,Electronic accessories,640920.0,8,Ewallet,4.761904762
751-15-6198,01/12/19,93,B,Bekasi,Normal,Male,Sports and travel,161070.0,6,Ewallet,4.761904762
533-66-5566,01/12/19,103,B,Bekasi,Normal,Female,Home and lifestyle,357490.0,7,Cash,4.761904762
848-07-1692,01/12/19,103,B,Bekasi,Normal,Female,Health and beauty,400540.0,2,Ewallet,4.761904762
296-11-7041,01/12/19,147,B,Bekasi,Member,Female,Health and beauty,189490.0,1,Credit card,4.761904762
647-50-1224,01/12/19,33,A,Jakarta,Normal,Female,Fashion accessories,205940.0,10,Ewallet,4.761904762
852-62-7105,01/12/19,120,B,Bekasi,Normal,Female,Fashion accessories,582750.0,10,Credit card,4.761904762
751-41-9720,01/12/19,176,C,Bogor,Normal,Male,Home and lifestyle,682500.0,10,Ewallet,4.761904762
197-77-7132,01/12/19,137,B,Bekasi,Member,Male,Electronic accessories,640920.0,8,Ewallet,4.761904762
751-15-6198,01/12/19,92,B,Bekasi,Normal,Male,Sports and travel,161070.0,6,Ewallet,4.761904762
533-66-5566,01/12/19,113,B,Bekasi,Normal,Female,Home and lifestyle,357490.0,7,Cash,4.761904762
732-94-0499,01/13/19,185,C,Bogor,Normal,Female,Electronic accessories,291550.0,10,Credit card,4.761904762
556-86-3144,01/13/19,224,C,Bogor,Member,Female,Fashion accessories,520030.00000000006,1,Cash,4.761904762
459-50-7686,01/13/19,21,A,Jakarta,Normal,Female,Electronic accessories,164220.0,6,Ewallet,4.761904762
339-38-9982,01/13/19,121,B,Bekasi,Member,Male,Fashion accessories,419020.0,2,Ewallet,4.761904762
355-34-6244,01/13/19,93,B,Bekasi,Normal,Male,Food and beverages,506730.0,2,Credit card,4.761904762
327-40-9673,01/13/19,129,B,Bekasi,Member,Male,Sports and travel,508199.99999999994,6,Cash,4.761904762
460-93-5834,01/13/19,6,A,Jakarta,Normal,Male,Sports and travel,319060.0,7,Cash,4.761904762
397-25-8725,01/13/19,62,A,Jakarta,Member,Female,Health and beauty,277340.0,9,Credit card,4.761904762
784-08-0310,01/13/19,221,C,Bogor,Member,Female,Food and beverages,147280.0,4,Cash,4.761904762
195-06-0432,01/13/19,57,A,Jakarta,Member,Male,Home and lifestyle,567070.0,3,Credit card,4.761904762
556-86-3144,01/13/19,239,C,Bogor,Member,Female,Fashion accessories,520030.00000000006,1,Cash,4.761904762
459-50-7686,01/13/19,40,A,Jakarta,Normal,Female,Electronic accessories,164220.0,6,Ewallet,4.761904762
339-38-9982,01/13/19,130,B,Bekasi,Member,Male,Fashion accessories,419020.0,2,Ewallet,4.761904762
355-34-6244,01/13/19,87,B,Bekasi,Normal,Male,Food and beverages,506730.0,2,Credit card,4.761904762
327-40-9673,01/13/19,122,B,Bekasi,Member,Male,Sports and travel,508199.99999999994,6,Cash,4.761904762
460-93-5834,01/13/19,4,A,Jakarta,Normal,Male,Sports and travel,319060.0,7,Cash,4.761904762
397-25-8725,01/13/19,63,A,Jakarta,Member,Female,Health and beauty,277340.0,9,Credit card,4.761904762
784-08-0310,01/13/19,228,C,Bogor,Member,Female,Food and beverages,147280.0,4,Cash,4.761904762
195-06-0432,01/13/19,60,A,Jakarta,Member,Male,Home and lifestyle,567070.0,3,Credit card,4.761904762
426-39-2418,01/14/19,173,C,Bogor,Normal,Male,Electronic accessories,429870.0,7,Cash,4.761904762
785-13-7708,01/14/19,99,B,Bekasi,Normal,Male,Food and beverages,511420.0,7,Credit card,4.761904762
667-23-5919,01/14/19,77,A,Jakarta,Member,Female,Fashion accessories,676900.0,5,Ewallet,4.761904762
868-52-7573,01/14/19,107,B,Bekasi,Normal,Female,Food and beverages,697830.0,5,Cash,4.761904762
592-34-6155,01/14/19,178,C,Bogor,Normal,Male,Food and beverages,222390.0,4,Ewallet,4.761904762
359-90-3665,01/14/19,155,B,Bekasi,Member,Female,Fashion accessories,126559.99999999999,4,Credit card,4.761904762
588-47-8641,01/14/19,53,A,Jakarta,Member,Male,Fashion accessories,392280.0,10,Ewallet,4.761904762
320-85-2052,01/14/19,117,B,Bekasi,Normal,Female,Sports and travel,243670.00000000003,1,Credit card,4.761904762
451-73-2711,01/14/19,172,C,Bogor,Normal,Male,Food and beverages,593810.0,1,Ewallet,4.761904762
704-10-4056,01/14/19,218,C,Bogor,Member,Male,Health and beauty,423290.0,3,Credit card,4.761904762
559-61-5987,01/14/19,116,B,Bekasi,Normal,Female,Health and beauty,124250.0,1,Cash,4.761904762
658-66-3967,01/14/19,171,C,Bogor,Normal,Male,Health and beauty,372330.0,7,Ewallet,4.761904762
377-79-7592,01/14/19,240,C,Bogor,Member,Female,Electronic accessories,313880.0,9,Credit card,4.761904762
426-39-2418,01/14/19,169,C,Bogor,Normal,Male,Electronic accessories,429870.0,7,Cash,4.761904762
