carat,cut,color,clarity,depth,table,price,x,y,z
1.32,Good,1,VS,59.2,58.0,7143,7.14,7.18,4.24
0.61,Good,3,VS,60.2,61.0,1785,5.47,5.52,3.3
0.33,Good,5,SI,63.4,55.0,579,4.37,4.4,2.78
0.46,Good,4,VS,56.5,61.0,1157,5.11,5.05,2.87
0.92,Good,6,SI,63.6,57.0,4086,6.14,6.09,3.89
1.01,Good,5,SI,63.9,58.0,3611,6.37,6.31,4.05
0.34,Good,3,SI,63.9,58.0,650,4.43,4.4,2.82
0.59,Good,4,VS,63.5,55.0,1573,5.31,5.36,3.39
0.41,Good,6,SI,63.1,54.0,638,4.72,4.75,2.99
2.0,Good,4,SI,63.0,61.0,18376,7.85,7.99,4.99
0.4,Good,5,SI,63.6,57.0,687,4.65,4.69,2.97
1.01,Good,6,SI,64.0,56.0,4234,6.25,6.29,4.01
1.0,Good,2,VS,60.9,61.0,5254,6.38,6.42,3.9
0.7,Good,6,SI,63.3,56.0,2264,5.6,5.65,3.56
1.61,Good,2,SI,63.8,62.0,9169,7.38,7.35,4.7
1.0,Good,2,SI,63.2,59.0,3874,6.24,6.29,3.96
1.31,Good,1,VS,64.3,58.7,6455,6.84,6.87,4.41
1.2,Good,1,VS,64.8,58.0,5600,6.6,6.65,4.29
1.72,Good,0,SI,63.2,57.0,7741,7.56,7.6,4.79
0.7,Good,4,SI,64.1,58.0,1792,5.58,5.53,3.56
0.45,Good,5,SI,63.9,57.0,1063,4.86,4.81,3.09
0.26,Good,5,VVS,59.4,61.0,597,4.13,4.15,2.46
0.79,Good,4,SI,64.3,60.0,1943,5.82,5.75,3.72
1.5,Good,3,SI,60.2,61.0,9892,7.27,7.32,4.39
1.0,Good,3,SI,63.1,56.0,4218,6.31,6.41,4.01
0.7,Good,4,SI,63.8,58.0,2121,5.56,5.67,3.58
0.57,Good,4,VVS,57.6,60.0,2298,5.49,5.45,3.15
1.56,Good,0,VS,62.3,64.0,8107,7.41,7.36,4.6
0.4,Good,6,VS,64.4,56.0,814,4.62,4.67,2.99
0.7,Good,5,SI,62.9,56.0,2028,5.63,5.66,3.55
0.38,Good,2,SI,63.3,57.0,633,4.58,4.62,2.91
0.51,Good,4,SI,64.1,58.0,1274,5.03,5.02,3.22
1.03,Good,0,SI,56.2,62.0,3188,6.69,6.73,3.77
0.7,Good,5,VS,64.2,60.0,2394,5.58,5.64,3.6
1.01,Good,4,SI,63.8,57.0,3597,6.36,6.31,4.04
1.01,Good,6,SI,64.0,59.0,4004,6.34,6.28,4.04
1.49,Good,1,SI,64.3,59.0,5407,7.2,7.1,4.6
0.5,Good,6,VVS,62.4,64.0,3017,5.03,5.06,3.14
0.71,Good,5,SI,60.8,62.0,2511,5.7,5.74,3.48
0.47,Good,5,SI,56.5,62.0,844,5.17,5.09,2.9
0.9,Good,2,VS,64.1,56.0,3902,6.0,6.05,3.86
2.0,Good,3,SI,59.1,61.0,17930,8.14,8.18,4.82
0.5,Good,6,VS,64.0,56.0,1708,5.04,5.02,3.22
0.25,Good,5,VVS,61.2,62.0,505,4.04,4.07,2.48
0.24,Good,4,VS,58.3,61.0,373,4.09,4.14,2.4
0.31,Good,4,VS,63.6,54.0,583,4.28,4.33,2.74
1.02,Good,2,SI,58.2,60.0,3940,6.49,6.57,3.8
0.3,Good,3,VS,63.6,55.0,776,4.29,4.26,2.72
0.41,Good,3,SI,63.4,57.0,671,4.7,4.73,2.99
0.61,Good,4,SI,62.5,65.0,3807,5.36,5.29,3.33
0.51,Good,5,SI,63.9,56.0,1343,5.07,5.11,3.25
2.05,Good,3,SI,63.7,61.0,16148,7.99,8.03,5.1
2.18,Good,2,SI,63.8,57.0,12825,8.24,8.17,5.23
2.02,Good,1,VS,57.9,62.0,16789,8.25,8.3,4.79
1.5,Good,1,SI,65.0,55.0,6364,7.15,7.24,4.68
0.3,Good,3,VVS,63.4,56.0,789,4.27,4.31,2.72
0.43,Good,2,VVS,61.2,61.0,1037,4.84,4.9,2.98
0.8,Good,3,SI,63.9,57.0,2650,5.84,5.81,3.72
0.52,Good,4,VS,61.0,61.0,1419,5.22,5.17,3.17
0.41,Good,4,I1,63.8,57.0,503,4.69,4.72,3.0
0.31,Good,1,SI,63.3,53.0,408,4.3,4.32,2.73
1.52,Good,4,SI,63.6,54.0,10664,7.33,7.22,4.63
0.5,Good,0,VS,57.7,60.0,963,5.28,5.26,3.04
1.01,Good,5,SI,64.1,62.0,4480,6.26,6.19,3.99
0.91,Good,3,VS,63.6,60.0,4284,6.03,6.11,3.86
0.4,Good,1,VS,63.8,55.0,945,4.69,4.65,2.98
0.7,Good,4,SI,64.3,57.0,1851,5.6,5.53,3.58
0.7,Good,2,VS,59.1,65.0,2352,5.85,5.75,3.43
2.0,Good,6,SI,64.1,57.0,17094,7.91,7.82,5.04
1.74,Good,2,SI,60.6,62.0,12032,7.74,7.8,4.71
1.01,Good,6,SI,63.9,60.0,5147,6.32,6.29,4.03
0.43,Good,3,SI,63.1,58.0,704,4.75,4.79,3.01
1.0,Good,3,SI,59.9,58.0,6437,6.44,6.48,3.87
0.77,Good,2,VVS,57.9,61.0,3027,6.07,6.01,3.5
1.01,Good,5,VS,62.5,58.0,6221,6.32,6.36,3.96
0.54,Good,6,VS,60.9,60.0,1644,5.28,5.36,3.24
2.0,Good,3,SI,64.3,60.0,10416,7.87,7.83,5.05
0.38,Good,5,IF,59.1,58.0,1318,4.74,4.77,2.81
1.2,Good,4,VVS,63.6,57.0,10982,6.71,6.74,4.28
0.31,Good,5,SI,63.7,57.0,698,4.31,4.29,2.74
1.0,Good,2,SI,63.0,56.0,4081,6.31,6.38,4.0
0.31,Good,6,SI,63.9,57.0,462,4.28,4.33,2.75
1.0,Good,1,SI,62.9,64.0,3920,6.27,6.23,3.93
1.51,Good,6,SI,61.5,61.0,8742,7.37,7.42,4.55
0.3,Good,2,VS,63.2,58.0,491,4.22,4.26,2.68
1.18,Good,3,SI,58.0,59.0,6743,6.98,7.03,4.06
1.54,Good,0,I1,61.7,60.0,4492,7.26,7.32,4.5
0.41,Good,2,SI,63.3,56.0,683,4.71,4.74,2.99
0.35,Good,5,VS,63.1,56.0,663,4.49,4.54,2.85
0.71,Good,4,SI,64.1,60.0,2130,0.0,0.0,0.0
1.05,Good,3,SI,63.2,54.0,4241,6.49,6.52,4.11
0.7,Good,3,SI,63.7,60.0,2150,5.57,5.51,3.53
1.11,Good,0,SI,63.6,58.0,3916,6.57,6.48,4.15
1.0,Good,3,VS,64.0,56.0,5645,6.33,6.25,4.03
0.7,Good,5,SI,61.4,64.0,2822,5.71,5.66,3.49
0.9,Good,1,VS,58.5,66.0,3353,6.23,6.25,3.65
1.71,Good,4,SI,64.0,59.0,11225,7.53,7.44,4.79
0.7,Good,5,VS,65.5,57.0,2657,5.46,5.54,3.6
0.23,Good,5,VVS,62.2,60.0,505,3.9,3.94,2.44
1.04,Good,3,VS,61.4,65.0,5535,6.53,6.47,3.99
1.14,Good,1,SI,63.9,58.0,3639,6.64,6.6,4.23
0.71,Good,1,VS,64.0,59.0,1840,5.61,5.55,3.57
0.91,Good,3,VS,64.1,60.0,4744,6.11,6.06,3.9
0.23,Good,3,VVS,63.8,56.0,537,3.94,3.9,2.5
1.01,Good,6,SI,63.6,57.0,4805,6.39,6.35,4.05
0.23,Good,5,VS,64.1,59.0,402,3.83,3.85,2.46
0.32,Good,4,SI,63.1,56.0,421,4.34,4.38,2.75
1.0,Good,1,VS,64.0,53.0,3763,6.34,6.28,4.04
0.39,Good,3,IF,63.5,56.0,1213,4.65,4.67,2.96
1.72,Good,6,SI,63.4,62.0,12248,7.53,7.59,4.79
0.7,Good,3,SI,60.1,65.0,2268,5.7,5.65,3.41
0.66,Good,3,VS,59.0,62.0,2055,5.66,5.72,3.35
1.04,Good,3,VS,58.9,64.0,6151,6.6,6.64,3.9
1.5,Good,0,SI,60.9,62.0,6746,7.3,7.32,4.45
0.46,Good,4,VVS,66.5,55.0,1307,4.77,4.82,3.19
0.5,Good,5,VVS,58.9,61.0,2183,5.18,5.2,3.06
1.04,Good,2,I1,63.9,58.0,3203,6.35,6.42,4.08
0.54,Good,5,SI,57.2,59.0,1323,5.37,5.32,3.06
0.9,Good,3,SI,63.3,59.0,3162,6.07,6.12,3.86
0.7,Good,3,SI,62.7,59.0,2209,5.57,5.63,3.51
0.36,Good,4,VS,63.9,54.0,905,4.52,4.5,2.88
1.01,Good,2,SI,60.3,64.0,4320,6.52,6.49,3.92
0.6,Good,3,VS,59.8,61.9,1793,5.45,5.5,3.27
0.3,Good,0,VS,63.4,57.0,394,4.23,4.26,2.69
1.18,Good,6,SI,59.7,61.0,5871,6.83,6.88,4.09
1.51,Good,6,SI,61.7,65.0,7384,7.31,7.38,4.53
1.5,Good,2,VS,64.3,57.0,8736,7.12,7.0,4.54
0.5,Good,4,VVS,58.5,62.0,2052,5.23,5.27,3.07
0.51,Good,6,VS,63.7,57.0,1549,5.0,5.05,3.2
1.0,Good,3,VS,58.6,65.0,5242,6.61,6.53,3.85
0.51,Good,2,SI,63.7,56.0,1227,5.1,5.07,3.24
0.3,Good,3,VS,63.3,56.0,605,4.26,4.3,2.71
0.38,Good,4,VS,62.4,54.3,899,4.6,4.65,2.89
1.31,Good,1,SI,63.6,55.1,5446,6.92,6.98,4.42
0.6,Good,3,SI,65.3,56.0,1350,5.21,5.26,3.42
1.01,Good,4,VVS,63.6,60.0,6932,6.31,6.36,4.03
0.3,Good,5,VVS,59.8,64.0,814,4.34,4.29,2.58
0.7,Good,4,VVS,63.2,58.0,3018,5.58,5.62,3.54
0.5,Good,1,VVS,64.8,56.0,1280,4.92,4.99,3.21
1.16,Good,4,SI,63.7,63.0,4395,6.55,6.63,4.2
0.33,Good,1,VVS,63.7,56.0,579,4.36,4.4,2.79
1.72,Good,4,SI,64.3,60.0,13622,7.56,7.52,4.85
0.3,Good,4,IF,58.8,61.0,796,4.35,4.39,2.57
1.51,Good,0,VS,64.0,58.0,7062,7.27,7.24,4.64
0.53,Good,6,SI,63.9,55.0,1226,5.1,5.14,3.27
1.24,Good,2,VS,58.3,58.0,7210,7.09,7.15,4.15
0.71,Good,5,SI,64.0,56.0,1816,5.68,5.61,3.62
0.37,Good,2,SI,64.0,55.0,528,4.53,4.57,2.91
0.32,Good,5,SI,63.4,56.0,524,4.31,4.34,2.74
0.58,Good,5,VS,61.5,61.9,2041,5.3,5.34,3.27
1.01,Good,2,SI,62.9,57.0,4496,6.27,6.36,3.97
0.91,Good,4,SI,63.7,58.0,3924,6.09,6.02,3.86
1.01,Good,2,SI,60.3,64.0,4642,6.53,6.5,3.93
0.91,Good,4,SI,63.8,59.0,3539,6.04,6.09,3.87
1.02,Good,3,VS,63.7,57.0,5943,6.24,6.31,4.0
1.0,Good,3,SI,64.2,57.0,3906,6.25,6.27,4.02
0.24,Good,4,VS,62.5,60.0,399,3.96,3.98,2.48
0.67,Good,6,SI,64.7,55.0,1664,5.5,5.54,3.57
0.35,Good,1,SI,63.6,56.0,472,4.5,4.53,2.87
0.7,Good,5,SI,63.5,58.0,2569,5.62,5.65,3.58
1.11,Good,2,SI,64.2,58.0,4606,6.53,6.47,4.17
1.01,Good,6,SI,63.1,54.0,4260,6.37,6.43,4.04
0.3,Good,1,IF,63.3,57.0,631,4.23,4.3,2.7
1.5,Good,3,SI,57.5,63.0,6006,7.53,7.49,4.32
0.31,Good,1,VS,63.7,55.0,489,4.3,4.33,2.75
1.01,Good,2,VS,64.2,55.0,4839,6.38,6.34,4.08
0.35,Good,4,SI,63.6,54.0,583,4.51,4.52,2.87
1.05,Good,2,VS,63.3,57.0,5555,6.4,6.45,4.07
0.3,Good,4,VS,63.7,56.0,731,4.28,4.26,2.72
0.3,Good,0,SI,64.0,55.0,439,4.28,4.25,2.73
0.31,Good,2,VS,63.6,55.0,698,4.32,4.29,2.74
0.42,Good,6,VS,57.3,62.0,1315,4.95,5.0,2.85
0.96,Good,2,SI,56.7,62.0,3611,6.51,6.39,3.66
0.51,Good,4,SI,64.2,59.0,1406,5.04,5.02,3.23
0.3,Good,3,SI,63.7,54.0,394,4.23,4.25,2.7
1.01,Good,6,SI,65.1,57.0,5544,6.3,6.32,4.11
1.15,Good,4,SI,63.8,57.0,4437,6.65,6.6,4.23
0.31,Good,3,IF,63.9,58.0,988,4.3,4.27,2.74
0.31,Good,6,SI,63.8,57.0,684,4.33,4.29,2.75
1.01,Good,4,VS,60.1,60.0,5902,6.46,6.51,3.9
0.78,Good,6,VS,64.0,54.0,3298,5.82,5.86,3.74
0.31,Good,3,SI,63.2,54.0,462,4.31,4.33,2.73
0.31,Good,0,SI,63.5,55.0,363,4.3,4.33,2.74
0.31,Good,5,SI,63.4,55.0,544,4.32,4.35,2.75
1.01,Good,5,SI,63.1,60.0,4912,6.34,6.37,4.01
0.71,Good,6,VS,63.6,54.0,4289,5.7,5.75,3.64
0.71,Good,4,SI,66.2,55.0,2396,5.49,5.53,3.65
1.02,Good,5,SI,62.8,64.0,3838,6.36,6.32,3.98
0.71,Good,4,SI,63.9,57.0,2352,5.61,5.57,3.57
2.01,Good,1,VS,62.4,62.0,16304,7.91,7.99,4.96
0.31,Good,5,VS,59.0,63.0,600,4.44,4.47,2.63
1.05,Good,5,SI,63.2,59.0,4204,6.36,6.43,4.04
0.51,Good,4,SI,63.6,56.0,1312,5.11,5.08,3.24
0.5,Good,4,VS,62.8,61.0,1447,4.94,5.0,3.12
0.31,Good,2,VS,63.1,58.0,489,4.31,4.34,2.73
1.0,Good,6,VS,64.1,58.0,6389,6.24,6.33,4.03
0.32,Good,3,VS,60.8,62.0,548,4.4,4.45,2.69
0.64,Good,3,VS,64.1,55.3,1906,5.43,5.45,3.49
1.01,Good,5,SI,57.5,63.0,4171,6.56,6.58,3.78
0.78,Good,6,SI,57.5,63.0,2430,6.13,6.05,3.5
0.91,Good,6,SI,64.0,58.0,3730,6.09,6.06,3.89
0.9,Good,5,VS,63.1,58.0,4580,6.11,6.15,3.87
1.0,Good,6,SI,63.8,53.0,4928,6.35,6.4,4.07
0.53,Good,4,SI,63.8,56.0,1363,5.16,5.13,3.28
1.01,Good,5,SI,63.3,57.0,4692,6.33,6.37,4.02
0.7,Good,3,VS,64.3,56.0,2488,5.51,5.58,3.57
0.68,Good,3,VVS,61.9,55.0,3225,5.63,5.68,3.5
0.5,Good,6,SI,64.1,56.0,1190,5.03,4.98,3.21
0.23,Good,4,VS,63.8,57.0,357,3.93,3.84,2.48
2.01,Good,3,SI,63.6,59.0,15832,7.95,8.0,5.07
0.9,Good,5,SI,58.3,61.0,4165,6.24,6.29,3.65
0.31,Good,3,IF,63.9,58.0,924,4.27,4.3,2.74
0.7,Good,5,VS,57.2,59.0,2826,5.94,5.88,3.38
0.71,Good,3,SI,63.9,56.0,2215,5.62,5.59,3.58
0.4,Good,6,SI,63.1,57.0,720,4.69,4.73,2.97
1.01,Good,4,VS,63.2,58.0,5988,6.33,6.36,4.01
1.21,Good,3,VS,63.8,56.0,8099,6.74,6.67,4.28
1.58,Good,2,SI,63.1,58.0,9774,7.33,7.38,4.64
0.9,Good,4,SI,63.1,56.0,3519,6.12,6.18,3.88
0.71,Good,2,SI,64.0,61.0,2207,5.61,5.54,3.57
1.21,Ideal,1,I1,61.3,57.0,3686,6.94,6.89,4.24
0.33,Ideal,3,VVS,61.5,56.0,868,4.45,4.46,2.74
0.31,Ideal,4,IF,61.4,56.0,1061,4.38,4.41,2.7
0.3,Ideal,4,IF,61.8,55.0,886,4.32,4.35,2.68
0.46,Ideal,2,VS,61.2,55.0,1401,4.96,5.04,3.06
0.32,Ideal,3,VVS,62.6,57.0,936,4.38,4.34,2.73
1.08,Ideal,2,VS,61.9,57.0,5791,6.58,6.64,4.09
0.7,Ideal,5,SI,61.1,56.0,3330,5.75,5.78,3.52
0.3,Ideal,3,VS,62.0,56.0,503,4.29,4.32,2.67
0.26,Ideal,5,VVS,62.2,56.0,769,4.15,4.12,2.57
0.7,Ideal,5,VS,61.0,56.0,3446,5.7,5.77,3.5
0.7,Ideal,3,VVS,61.9,58.0,3354,5.67,5.74,3.53
0.51,Ideal,5,SI,61.3,61.0,1128,5.13,5.15,3.15
1.52,Ideal,1,SI,62.5,58.0,7990,7.29,7.33,4.57
0.53,Ideal,5,VS,61.0,57.0,1727,5.26,5.23,3.2
0.4,Ideal,4,VVS,61.7,55.0,1168,4.77,4.79,2.95
1.05,Ideal,2,SI,61.8,56.0,4975,6.52,6.58,4.05
1.07,Ideal,3,SI,62.1,57.0,5232,6.59,6.52,4.07
0.34,Ideal,3,VS,62.2,53.0,596,4.46,4.51,2.79
0.31,Ideal,6,VS,61.2,55.0,942,4.38,4.35,2.67
1.01,Ideal,6,SI,60.5,57.0,4837,6.53,6.6,3.97
0.41,Ideal,6,SI,62.6,57.0,791,4.74,4.78,2.98
1.01,Ideal,6,VVS,60.6,56.0,10797,6.53,6.48,3.94
0.83,Ideal,5,SI,61.9,53.0,3103,6.04,6.08,3.75
0.31,Ideal,6,SI,61.0,57.0,571,4.38,4.41,2.68
0.24,Ideal,5,VVS,61.7,58.0,526,3.96,4.01,2.46
0.3,Ideal,1,SI,62.5,58.0,422,4.25,4.29,2.67
0.37,Ideal,5,VS,62.6,56.0,1041,4.61,4.56,2.87
1.05,Ideal,3,VS,62.0,56.0,7063,6.53,6.47,4.03
0.7,Ideal,3,SI,61.6,55.0,3145,5.71,5.76,3.53
1.06,Ideal,5,SI,62.2,55.0,5319,6.54,6.51,4.06
0.34,Ideal,2,VS,61.7,57.0,689,4.48,4.46,2.76
0.38,Ideal,5,VVS,62.6,56.0,1327,4.64,4.6,2.89
0.3,Ideal,2,SI,61.7,56.0,465,4.33,4.35,2.68
0.41,Ideal,4,VVS,61.0,56.0,1192,4.82,4.78,2.93
0.43,Ideal,1,VVS,60.9,57.0,929,4.85,4.9,2.97
0.32,Ideal,4,IF,61.8,56.0,1204,4.4,4.44,2.73
0.69,Ideal,2,SI,62.1,57.0,1822,5.65,5.62,3.5
0.42,Ideal,1,VVS,62.4,57.0,884,4.79,4.83,3.0
0.55,Ideal,4,VVS,61.2,54.0,3032,5.35,5.3,3.26
1.04,Ideal,1,VS,61.8,55.0,5242,6.5,6.54,4.03
1.22,Ideal,5,SI,62.7,57.0,6343,6.84,6.81,4.28
0.46,Ideal,3,IF,62.1,56.0,1654,4.93,4.96,3.07
0.31,Ideal,6,VS,61.6,57.0,734,4.36,4.38,2.69
0.7,Ideal,2,VVS,62.3,55.0,2827,5.66,5.7,3.54
1.0,Ideal,2,I1,61.3,57.0,3080,6.41,6.44,3.94
1.01,Ideal,5,VVS,61.7,57.0,11400,6.42,6.44,3.97
0.4,Ideal,4,VVS,60.1,57.0,990,4.78,4.83,2.89
1.22,Ideal,1,SI,60.8,57.0,5602,6.95,6.89,4.21
0.54,Ideal,3,VVS,61.5,54.0,2090,5.26,5.24,3.23
0.36,Ideal,5,VS,61.5,56.2,801,4.56,4.6,2.82
2.01,Ideal,4,SI,61.7,56.0,18394,8.12,8.16,5.02
1.02,Ideal,5,SI,62.0,59.0,4645,6.43,6.4,3.98
2.0,Ideal,3,SI,61.7,55.0,13675,8.11,8.07,4.99
0.25,Ideal,3,IF,61.1,57.0,582,4.06,4.07,2.48
0.32,Ideal,6,VS,61.4,57.0,814,4.4,4.43,2.71
0.9,Ideal,2,VS,59.9,57.0,4584,6.27,6.31,3.77
1.02,Ideal,6,VS,60.5,56.0,8181,6.55,6.48,3.94
0.61,Ideal,3,SI,62.0,54.0,1579,5.48,5.5,3.4
1.21,Ideal,6,SI,62.0,57.0,6190,6.81,6.83,4.23
1.01,Ideal,1,SI,61.2,56.0,4825,6.48,6.51,3.97
0.71,Ideal,6,SI,61.9,59.0,2764,5.69,5.72,3.53
0.71,Ideal,5,VS,62.0,55.0,3247,5.7,5.75,3.55
1.11,Ideal,6,SI,61.3,56.0,6129,6.68,6.74,4.12
0.51,Ideal,6,IF,62.1,55.0,3446,5.12,5.13,3.19
0.91,Ideal,4,SI,62.4,57.0,3746,6.22,6.18,3.87
0.5,Ideal,4,VS,62.5,57.0,1838,5.09,5.06,3.17
0.41,Ideal,5,VVS,60.9,56.0,1243,4.81,4.75,2.91
