EmployeeId,Education,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,Status
I1-75787,Bachelors,Bangalore,3,30,Male,No,5,Left
I1-30502,PHD,Bangalore,2,25,Male,No,3,Active
I3-39399,Bachelors,Pune,1,22,Female,No,0,Active
I1-64115,Bachelors,Bangalore,3,34,Male,No,4,Left
I1-41244,Bachelors,Bangalore,3,40,Male,No,1,Active
I1-14839,PHD,Bangalore,3,26,Male,No,4,Left
I2-14161,Bachelors,New Delhi,3,28,Male,No,0,Left
I1-75090,Bachelors,Bangalore,3,24,Female,No,2,Left
I1-49474,Masters,Bangalore,3,40,Female,No,2,Active
I1-89518,Bachelors,Bangalore,3,23,Female,No,1,Active
I1-96231,Masters,Bangalore,3,31,Male,No,4,Left
I3-19441,Bachelors,Pune,3,25,Female,No,3,Left
I1-79924,Bachelors,Bangalore,1,27,Male,No,5,Left
I2-20610,Masters,New Delhi,2,25,Female,No,3,Active
I1-29619,Bachelors,Bangalore,3,40,Male,No,0,Active
I1-60386,Bachelors,Bangalore,1,23,Female,No,1,Left
I1-84348,Bachelors,Bangalore,3,23,Female,No,1,Left
I1-59043,Bachelors,Bangalore,3,39,Male,No,1,Left
I2-88814,PHD,New Delhi,1,37,Male,No,1,Left
I3-29616,Bachelors,Pune,3,38,Male,No,2,Left
I1-24800,Bachelors,Bangalore,3,31,Female,No,0,Active
I1-22662,Bachelors,Bangalore,3,38,Male,No,5,Left
I1-67874,Bachelors,Bangalore,3,25,Female,No,3,Left
I1-31805,Bachelors,Bangalore,3,27,Female,Yes,5,Active
I3-35025,Bachelors,Pune,2,36,Male,No,0,Active
I3-55702,Bachelors,Pune,2,27,Female,No,5,Active
I3-66784,Masters,Pune,2,32,Female,No,4,Left
I1-64274,Bachelors,Bangalore,3,28,Male,No,4,Left
I2-68406,Masters,New Delhi,3,32,Male,No,2,Left
I1-42175,Bachelors,Bangalore,3,30,Male,No,0,Active
I2-99232,Bachelors,New Delhi,3,22,Male,No,0,Left
I2-46005,Bachelors,New Delhi,2,34,Female,No,5,Left
I2-28810,Masters,New Delhi,3,36,Male,No,2,Left
I1-90904,Bachelors,Bangalore,3,39,Male,No,3,Active
I1-78400,PHD,Bangalore,3,26,Male,No,4,Active
I1-33391,Bachelors,Bangalore,3,31,Female,No,0,Left
I1-25660,Bachelors,Bangalore,3,27,Male,No,5,Active
I1-44999,Bachelors,Bangalore,3,29,Female,No,0,Left
I1-69734,Bachelors,Bangalore,3,24,Female,No,2,Active
I3-49658,Masters,Pune,3,25,Male,No,3,Active
I3-31618,Bachelors,Pune,3,25,Male,No,3,Left
I2-96562,Masters,New Delhi,3,26,Female,No,4,Active
I3-95029,Bachelors,Pune,2,28,Female,Yes,1,Active
I2-32846,Bachelors,New Delhi,3,28,Male,No,2,Left
I3-33080,Masters,Pune,1,28,Female,No,3,Active
I2-72932,Masters,New Delhi,3,25,Male,No,3,Left
I1-55556,Bachelors,Bangalore,3,28,Male,No,1,Left
I3-52999,Masters,Pune,3,25,Male,No,3,Left
I1-66978,Bachelors,Bangalore,2,25,Female,No,3,Active
I1-39316,Bachelors,Bangalore,3,27,Female,No,5,Left
I3-10656,Bachelors,Pune,2,27,Female,No,5,Active
I1-81414,Bachelors,Bangalore,3,27,Male,No,5,Active
I1-15724,Bachelors,Bangalore,3,25,Male,No,3,Left
I2-53470,Masters,New Delhi,2,28,Male,No,2,Left
I3-51867,Bachelors,Pune,1,26,Female,No,4,Active
I1-41801,Bachelors,Bangalore,3,28,Male,No,2,Left
I2-20475,Masters,New Delhi,3,26,Male,No,4,Left
I1-44310,Bachelors,Bangalore,3,26,Female,No,4,Left
I2-68727,Bachelors,New Delhi,2,25,Male,No,3,Left
I1-63056,Bachelors,Bangalore,1,28,Female,No,3,Left
I2-86395,PHD,New Delhi,3,26,Male,No,4,Left
I2-30739,Bachelors,New Delhi,3,25,Female,No,3,Left
I1-61195,Bachelors,Bangalore,3,26,Male,No,4,Active
I1-74980,Bachelors,Bangalore,3,28,Female,No,3,Left
I3-98257,Masters,Pune,3,24,Male,No,2,Left
I1-41641,Bachelors,Bangalore,3,28,Male,No,1,Left
I3-78859,Bachelors,Pune,3,27,Male,No,5,Left
I1-45611,Bachelors,Bangalore,3,25,Male,No,3,Active
I3-78171,Masters,Pune,1,24,Male,No,2,Active
I1-73254,Bachelors,Bangalore,3,26,Female,No,4,Left
I1-88919,Bachelors,Bangalore,3,28,Male,No,1,Active
I2-75520,Masters,New Delhi,3,27,Male,No,5,Left
I1-18227,Masters,Bangalore,3,26,Male,No,4,Left
I2-31798,Masters,New Delhi,2,24,Male,No,2,Left
I2-74144,Masters,New Delhi,3,26,Male,No,4,Active
I2-98381,Masters,New Delhi,1,25,Female,No,3,Active
I3-70482,Bachelors,Pune,3,28,Male,No,2,Left
I2-62576,Bachelors,New Delhi,3,28,Male,No,2,Left
I1-27794,Bachelors,Bangalore,3,26,Male,No,4,Left
I2-65107,Masters,New Delhi,3,27,Male,No,5,Active
I3-80948,Bachelors,Pune,2,24,Female,No,2,Active
I2-86668,Bachelors,New Delhi,3,28,Female,No,2,Left
I1-55774,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-80604,Bachelors,Bangalore,3,27,Female,No,5,Left
I3-60832,Masters,Pune,2,28,Female,No,3,Left
I1-74211,Bachelors,Bangalore,3,25,Male,No,3,Left
I3-31731,Bachelors,Pune,3,28,Male,No,1,Left
I1-83232,Masters,Bangalore,1,25,Male,No,3,Active
I3-67848,Bachelors,Pune,3,26,Male,No,4,Left
I2-22930,Bachelors,New Delhi,3,27,Female,No,5,Active
I1-64417,Bachelors,Bangalore,3,24,Male,No,2,Active
I3-14629,Bachelors,Pune,2,24,Female,No,2,Active
I1-10370,Bachelors,Bangalore,3,26,Male,No,4,Left
I3-67485,Bachelors,Pune,2,24,Female,No,2,Active
I2-80178,Masters,New Delhi,3,26,Female,No,4,Left
I1-18511,Bachelors,Bangalore,3,28,Female,No,3,Left
I1-16628,Bachelors,Bangalore,3,24,Male,No,2,Active
I1-55827,Bachelors,Bangalore,3,25,Male,No,3,Active
I1-22156,Bachelors,Bangalore,3,28,Male,No,3,Left
I1-29924,Bachelors,Bangalore,3,28,Female,No,3,Left
I1-24254,Bachelors,Bangalore,3,26,Female,No,4,Left
I2-89720,Masters,New Delhi,3,24,Female,No,2,Active
I1-69516,Bachelors,Bangalore,3,25,Male,No,3,Active
I1-73577,Bachelors,Bangalore,3,25,Male,No,3,Left
I1-28258,Bachelors,Bangalore,3,27,Male,No,5,Left
I1-70114,Bachelors,Bangalore,3,24,Male,No,2,Left
I1-67214,Bachelors,Bangalore,3,25,Male,No,3,Left
I1-75681,Bachelors,Bangalore,3,28,Male,No,3,Left
I2-68600,Masters,New Delhi,3,26,Male,No,4,Active
I2-54987,Bachelors,New Delhi,3,28,Female,No,1,Left
I3-43963,Bachelors,Pune,3,25,Male,No,3,Left
I3-70063,Masters,Pune,2,28,Female,No,2,Left
I1-65484,Bachelors,Bangalore,3,27,Female,No,5,Left
I1-53040,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-95135,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-78113,Bachelors,Bangalore,3,25,Male,No,3,Left
I1-78601,Bachelors,Bangalore,3,25,Male,No,3,Left
I2-30136,Bachelors,New Delhi,3,24,Female,No,2,Left
I1-41108,Bachelors,Bangalore,3,27,Male,No,5,Active
I2-52344,Masters,New Delhi,3,27,Male,No,5,Active
I3-91148,Bachelors,Pune,3,27,Male,No,5,Left
I1-14312,Bachelors,Bangalore,3,24,Male,No,2,Active
I2-35634,Masters,New Delhi,3,27,Male,No,5,Active
I2-94226,Masters,New Delhi,2,28,Female,No,1,Active
I3-87139,Masters,Pune,2,24,Male,No,2,Active
I2-85408,Masters,New Delhi,3,25,Female,No,3,Active
I2-92369,PHD,New Delhi,3,28,Female,No,1,Left
I2-72776,Bachelors,New Delhi,2,26,Male,No,4,Left
I1-13264,Bachelors,Bangalore,2,27,Male,No,5,Left
I1-25253,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-48834,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-67063,Bachelors,Bangalore,3,28,Male,No,1,Left
I1-42314,Bachelors,Bangalore,3,27,Female,No,5,Left
I2-47920,Bachelors,New Delhi,3,25,Female,No,3,Left
I3-21671,Bachelors,Pune,3,28,Male,No,1,Left
I3-16060,Bachelors,Pune,3,24,Male,No,2,Left
I2-88282,Bachelors,New Delhi,3,27,Female,No,5,Left
I1-82170,Bachelors,Bangalore,3,28,Male,Yes,2,Left
I3-23841,Bachelors,Pune,3,28,Male,No,3,Left
I3-47419,Bachelors,Pune,2,25,Female,No,3,Active
I1-31316,Bachelors,Bangalore,3,25,Male,No,3,Left
I1-97818,Bachelors,Bangalore,3,27,Male,No,5,Left
I3-72564,Bachelors,Pune,2,26,Female,No,4,Active
I2-28517,PHD,New Delhi,3,24,Male,No,2,Left
I3-57314,Bachelors,Pune,2,26,Female,No,4,Active
I1-88005,Bachelors,Bangalore,3,25,Male,No,3,Left
I3-62516,Masters,Pune,2,27,Male,No,5,Active
I1-35162,Masters,Bangalore,3,28,Male,No,2,Left
I1-55857,Bachelors,Bangalore,3,25,Male,No,3,Active
I1-33926,Bachelors,Bangalore,3,27,Male,No,5,Left
I3-20452,Masters,Pune,2,27,Female,No,5,Left
I1-87525,Masters,Bangalore,2,28,Female,No,2,Active
I3-35513,Masters,Pune,3,28,Male,No,1,Active
I1-65934,Bachelors,Bangalore,3,27,Female,No,5,Active
I2-37224,Bachelors,New Delhi,3,25,Female,No,3,Left
I2-22583,Masters,New Delhi,3,27,Male,No,5,Active
I2-99702,Masters,New Delhi,3,26,Male,No,4,Active
I3-50436,Bachelors,Pune,2,25,Female,No,3,Active
I2-70785,Masters,New Delhi,3,26,Male,No,4,Active
I1-78479,Bachelors,Bangalore,3,25,Male,No,3,Active
I3-65507,Bachelors,Pune,2,26,Male,No,4,Left
I1-68670,Bachelors,Bangalore,3,28,Female,No,2,Active
I1-97041,Bachelors,Bangalore,3,27,Male,No,5,Left
I3-82813,Bachelors,Pune,1,24,Female,Yes,2,Active
I3-37329,Bachelors,Pune,3,28,Male,No,2,Left
I3-44850,Bachelors,Pune,2,27,Female,Yes,5,Active
I1-88319,Bachelors,Bangalore,3,25,Male,No,3,Active
I3-57752,Bachelors,Pune,2,27,Female,No,5,Active
I3-25194,Bachelors,Pune,3,24,Male,No,2,Left
I3-92217,Bachelors,Pune,3,24,Male,No,2,Left
I2-92199,PHD,New Delhi,2,25,Female,No,3,Left
I1-11015,Bachelors,Bangalore,3,26,Male,Yes,4,Left
I1-37471,Bachelors,Bangalore,3,24,Male,No,2,Active
I3-65558,Masters,Pune,2,25,Female,No,3,Left
I1-89924,Bachelors,Bangalore,3,24,Male,No,2,Left
I2-63538,Bachelors,New Delhi,3,24,Female,No,2,Left
I1-60048,Masters,Bangalore,2,26,Female,No,4,Active
I2-95493,Bachelors,New Delhi,3,28,Male,No,1,Left
I3-36180,Masters,Pune,2,26,Female,No,4,Left
I3-19197,Bachelors,Pune,3,25,Male,No,3,Left
I2-65511,Bachelors,New Delhi,3,24,Male,No,2,Active
I3-21668,Bachelors,Pune,2,28,Female,No,3,Active
I1-17241,Bachelors,Bangalore,3,25,Female,No,3,Active
I1-55613,Bachelors,Bangalore,3,25,Male,No,3,Left
I3-43383,Bachelors,Pune,2,24,Female,No,2,Active
I1-57215,Bachelors,Bangalore,3,28,Male,No,2,Active
I1-69883,Bachelors,Bangalore,3,27,Male,No,5,Left
I3-65596,Bachelors,Pune,3,26,Male,No,4,Left
I2-35378,Masters,New Delhi,3,26,Female,No,4,Active
I1-92423,Bachelors,Bangalore,1,28,Female,No,2,Left
I1-47025,Bachelors,Bangalore,3,25,Male,Yes,3,Left
I1-71168,Bachelors,Bangalore,3,27,Male,No,5,Left
I1-48535,Bachelors,Bangalore,3,28,Male,No,2,Left
I2-76388,Masters,New Delhi,3,24,Female,Yes,2,Active
I3-75456,Bachelors,Pune,2,25,Male,No,3,Left
I3-76522,Bachelors,Pune,2,24,Female,No,2,Active
I2-44553,Masters,New Delhi,2,28,Female,No,1,Left
I2-63026,Bachelors,New Delhi,1,27,Female,No,5,Left
I2-67887,Bachelors,New Delhi,2,27,Female,No,5,Left
I1-93820,Bachelors,Bangalore,3,28,Male,No,1,Left
I3-54764,Bachelors,Pune,2,27,Female,No,5,Active
I1-55741,Masters,Bangalore,3,24,Male,No,2,Active
I3-46314,Bachelors,Pune,1,26,Male,No,4,Left
I1-73254,Bachelors,Bangalore,3,26,Male,No,4,Left
I2-68558,Masters,New Delhi,1,27,Male,No,5,Left
I2-72522,Bachelors,New Delhi,3,26,Female,No,4,Left
I1-86963,Bachelors,Bangalore,3,27,Male,Yes,5,Left
I1-72902,Bachelors,Bangalore,3,24,Male,Yes,2,Active
I1-21003,Bachelors,Bangalore,3,26,Female,No,4,Active
I3-80753,Masters,Pune,2,26,Female,No,4,Active
I2-58105,Masters,New Delhi,2,28,Female,No,2,Left
I3-63117,Bachelors,Pune,3,28,Male,No,1,Left
I2-32086,Masters,New Delhi,3,25,Male,No,3,Left
I1-89026,Bachelors,Bangalore,3,28,Female,Yes,1,Active
I3-64492,Bachelors,Pune,3,27,Female,No,5,Active
I1-83955,Bachelors,Bangalore,3,25,Male,No,3,Left
I1-18583,Bachelors,Bangalore,3,28,Male,No,1,Left
I2-88057,Bachelors,New Delhi,3,28,Female,No,3,Left
I2-50130,Masters,New Delhi,2,28,Male,Yes,2,Left
I1-12138,Bachelors,Bangalore,3,25,Male,No,3,Left
I2-87564,Masters,New Delhi,3,26,Male,No,4,Left
I3-52947,Bachelors,Pune,1,25,Female,No,3,Active
I2-95387,Masters,New Delhi,3,27,Male,No,5,Left
I1-52217,PHD,Bangalore,3,24,Female,No,2,Left
I2-19682,Masters,New Delhi,2,27,Female,No,5,Left
I1-61974,Bachelors,Bangalore,3,26,Male,No,4,Active
I1-89994,Bachelors,Bangalore,3,26,Male,No,4,Left
I3-59018,Masters,Pune,3,27,Female,No,5,Active
I1-47004,Bachelors,Bangalore,3,26,Male,No,4,Active
I1-89395,Bachelors,Bangalore,3,24,Male,No,2,Left
I2-34427,Masters,New Delhi,2,25,Female,No,3,Left
I2-41568,Bachelors,New Delhi,2,28,Male,No,1,Left
I2-32089,Bachelors,New Delhi,3,27,Female,No,5,Left
I2-50333,Masters,New Delhi,3,26,Male,No,4,Active
I1-22511,Bachelors,Bangalore,3,26,Female,Yes,4,Active
I3-82890,Bachelors,Pune,3,28,Male,No,2,Left
I1-16988,Bachelors,Bangalore,3,24,Female,No,2,Active
I1-38819,Bachelors,Bangalore,3,28,Male,No,3,Left
I1-84714,Bachelors,Bangalore,3,27,Male,No,5,Left
I1-19684,Bachelors,Bangalore,3,26,Male,No,4,Left
I2-65267,Bachelors,New Delhi,3,28,Female,No,1,Left
I2-35130,Bachelors,New Delhi,3,27,Female,Yes,5,Left
I3-84649,Bachelors,Pune,3,26,Female,Yes,4,Active
I2-84959,Masters,New Delhi,3,26,Male,No,4,Active
I2-67581,PHD,New Delhi,3,25,Female,No,3,Left
I2-87782,Masters,New Delhi,3,25,Male,No,3,Left
I3-12103,Bachelors,Pune,3,27,Male,No,5,Left
I2-61443,Masters,New Delhi,2,24,Female,No,2,Left
I1-36388,Bachelors,Bangalore,3,24,Male,No,2,Left
I3-54478,Masters,Pune,3,28,Female,No,2,Left
I1-85266,Bachelors,Bangalore,3,24,Female,No,2,Left
I3-35006,Bachelors,Pune,3,25,Male,No,3,Left
I1-78526,Bachelors,Bangalore,1,25,Male,No,3,Left
I3-83933,Masters,Pune,3,28,Female,No,2,Left
I3-52820,Bachelors,Pune,3,26,Male,No,4,Left
I3-16246,Bachelors,Pune,3,24,Male,No,2,Left
I3-96197,Bachelors,Pune,3,25,Female,No,3,Active
I3-85793,Bachelors,Pune,3,26,Female,No,4,Active
I1-16571,Bachelors,Bangalore,3,27,Male,No,5,Left
I1-14790,Bachelors,Bangalore,3,28,Female,No,2,Left
I3-84079,Bachelors,Pune,3,28,Male,No,2,Left
I2-57967,Masters,New Delhi,3,24,Female,No,2,Active
I1-62039,Bachelors,Bangalore,3,26,Male,No,4,Left
I2-52540,Bachelors,New Delhi,3,26,Female,Yes,4,Left
I1-88795,Bachelors,Bangalore,3,28,Male,No,1,Left
I3-93670,Bachelors,Pune,3,25,Male,Yes,3,Active
I2-32469,Masters,New Delhi,3,24,Male,No,2,Left
I1-30674,Bachelors,Bangalore,3,28,Male,No,2,Active
I1-25389,Bachelors,Bangalore,3,24,Male,No,2,Left
I2-89436,Masters,New Delhi,2,25,Female,No,3,Active
I3-55272,Bachelors,Pune,2,28,Female,No,1,Active
I1-31532,Bachelors,Bangalore,3,24,Female,No,2,Left
I3-14081,Bachelors,Pune,3,26,Male,No,4,Left
I2-80346,Bachelors,New Delhi,2,27,Female,No,5,Active
I1-76993,Bachelors,Bangalore,3,24,Female,No,2,Active
I1-55790,Bachelors,Bangalore,3,27,Female,No,5,Left
I1-21561,Bachelors,Bangalore,3,24,Male,Yes,2,Left
I1-62089,Bachelors,Bangalore,3,24,Female,No,2,Left
I1-67572,Bachelors,Bangalore,3,27,Male,No,5,Left
I1-85745,Bachelors,Bangalore,3,26,Female,No,4,Left
I1-55573,Bachelors,Bangalore,3,24,Female,No,2,Left
I3-17819,Bachelors,Pune,3,24,Female,No,2,Active
I1-29072,Bachelors,Bangalore,3,24,Male,Yes,2,Active
I1-68293,Bachelors,Bangalore,3,28,Male,No,3,Left
I2-71709,Bachelors,New Delhi,2,27,Male,No,5,Left
I3-89934,Bachelors,Pune,2,27,Female,No,5,Active
I3-69194,Masters,Pune,2,27,Male,No,5,Left
I3-67922,Bachelors,Pune,2,24,Male,No,2,Active
I3-89189,Bachelors,Pune,1,26,Female,No,4,Active
I3-32949,Bachelors,Pune,3,26,Female,No,4,Active
I1-56371,Bachelors,Bangalore,3,25,Male,No,3,Active
I3-65519,Bachelors,Pune,3,26,Male,No,4,Left
I1-55003,Bachelors,Bangalore,3,28,Male,No,2,Left
I1-83239,Bachelors,Bangalore,3,25,Male,No,3,Left
I1-77215,Bachelors,Bangalore,3,25,Female,Yes,3,Left
I3-70082,Masters,Pune,2,26,Male,No,4,Left
I3-60887,Masters,Pune,3,28,Male,No,1,Active
I3-35472,Masters,Pune,2,25,Female,No,3,Active
I2-22718,Bachelors,New Delhi,2,26,Female,No,4,Left
I2-66740,Bachelors,New Delhi,2,26,Male,No,4,Left
I1-94037,Bachelors,Bangalore,3,27,Male,No,5,Left
I2-29996,Bachelors,New Delhi,3,27,Female,No,5,Left
I2-15419,Bachelors,New Delhi,3,24,Female,No,2,Left
I1-34571,Masters,Bangalore,1,26,Female,No,4,Active
I2-93893,Bachelors,New Delhi,1,28,Female,No,2,Left
I1-93084,Bachelors,Bangalore,3,24,Male,No,2,Left
I3-34920,Masters,Pune,2,25,Female,No,3,Active
I1-84712,Bachelors,Bangalore,3,25,Female,No,3,Left
I1-66199,Bachelors,Bangalore,3,28,Male,No,2,Left
I1-57210,Bachelors,Bangalore,3,28,Male,No,3,Left
I2-83284,Masters,New Delhi,1,27,Male,No,5,Left
I3-59298,Bachelors,Pune,1,26,Female,No,4,Active
I1-16540,Masters,Bangalore,3,25,Male,Yes,3,Active
I1-89351,Bachelors,Bangalore,3,28,Female,No,3,Left
I2-16794,Bachelors,New Delhi,3,26,Female,Yes,4,Active
I3-31691,Bachelors,Pune,2,24,Female,No,2,Active
I1-50759,Bachelors,Bangalore,3,27,Male,Yes,5,Left
I1-39270,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-16493,Bachelors,Bangalore,3,24,Male,No,2,Left
I1-86021,Bachelors,Bangalore,3,28,Male,No,2,Left
I3-33166,Bachelors,Pune,2,25,Female,No,3,Active
I3-23060,Bachelors,Pune,3,27,Male,No,5,Left
I1-93386,Bachelors,Bangalore,3,28,Male,No,3,Left
I1-83997,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-57246,Bachelors,Bangalore,3,24,Male,No,2,Left
I1-34323,Bachelors,Bangalore,3,27,Male,No,5,Left
I1-49666,Bachelors,Bangalore,3,26,Female,Yes,4,Active
I3-15605,Bachelors,Pune,3,28,Male,No,2,Left
I2-61879,Bachelors,New Delhi,2,24,Female,No,2,Active
I1-88388,Bachelors,Bangalore,3,24,Male,No,2,Left
I1-66199,Bachelors,Bangalore,3,28,Male,Yes,3,Active
I3-20189,Bachelors,Pune,3,27,Male,No,5,Left
I3-55264,Bachelors,Pune,2,26,Male,No,4,Left
I1-35549,Bachelors,Bangalore,3,25,Male,No,3,Active
I1-74443,PHD,Bangalore,3,25,Male,No,3,Left
I1-31339,Bachelors,Bangalore,3,25,Male,No,3,Left
I2-32069,Bachelors,New Delhi,2,28,Female,No,1,Left
I3-63166,Bachelors,Pune,1,26,Female,No,4,Active
I2-71371,Masters,New Delhi,3,26,Male,Yes,4,Active
I1-53024,Bachelors,Bangalore,3,27,Male,No,5,Left
I2-14892,Bachelors,New Delhi,3,24,Female,No,2,Left
I2-32689,Bachelors,New Delhi,2,24,Male,No,2,Left
I1-33094,Bachelors,Bangalore,3,26,Male,No,4,Left
I1-86205,Bachelors,Bangalore,3,26,Female,No,4,Left
I1-65133,Bachelors,Bangalore,3,24,Male,No,2,Left
I3-30071,Masters,Pune,3,25,Male,No,3,Left
I1-77286,Bachelors,Bangalore,3,28,Male,No,2,Left
I3-94116,Bachelors,Pune,3,24,Male,No,2,Left
I1-61375,Bachelors,Bangalore,3,26,Female,No,4,Left
I3-22359,Bachelors,Pune,2,25,Female,Yes,3,Active
I2-61983,Masters,New Delhi,2,25,Male,No,3,Active
I3-25516,Bachelors,Pune,3,25,Male,No,3,Left
I3-40808,Bachelors,Pune,2,26,Female,Yes,4,Active
I1-24002,Masters,Bangalore,2,26,Female,No,4,Active
I3-65397,Bachelors,Pune,3,27,Female,No,5,Left
I2-93728,Masters,New Delhi,3,28,Male,Yes,2,Left
I3-50742,Bachelors,Pune,3,25,Male,No,3,Left
I1-48006,Bachelors,Bangalore,3,24,Male,No,2,Left
I3-79938,Bachelors,Pune,3,28,Male,No,1,Left
I2-95136,Bachelors,New Delhi,3,27,Female,Yes,5,Left
I2-22985,Bachelors,New Delhi,3,26,Male,No,4,Left
I1-55296,Bachelors,Bangalore,3,27,Male,No,5,Left
I3-78395,Bachelors,Pune,2,27,Male,No,5,Left
I1-91230,Bachelors,Bangalore,3,27,Male,No,5,Left
I2-72284,PHD,New Delhi,3,25,Male,No,3,Active
I3-89669,Bachelors,Pune,3,27,Male,No,5,Left
I1-42051,Bachelors,Bangalore,3,26,Female,No,4,Left
I3-79799,Masters,Pune,2,24,Female,No,2,Active
I2-48092,PHD,New Delhi,2,28,Male,No,3,Active
I2-11601,Masters,New Delhi,3,26,Male,No,4,Active
I2-97180,Masters,New Delhi,2,27,Male,Yes,5,Active
I2-30716,PHD,New Delhi,3,27,Male,No,5,Left
I2-98744,Masters,New Delhi,3,28,Female,No,1,Left
I3-60647,Bachelors,Pune,3,27,Male,No,5,Left
I3-40003,Bachelors,Pune,3,26,Female,Yes,4,Active
I1-22700,Masters,Bangalore,3,26,Male,No,4,Active
I3-76884,Masters,Pune,3,27,Male,No,5,Left
I1-93491,Bachelors,Bangalore,3,26,Male,No,4,Left
I3-72168,Masters,Pune,2,27,Male,No,5,Active
I1-23071,Bachelors,Bangalore,3,27,Male,No,5,Left
I1-85623,Bachelors,Bangalore,3,25,Male,No,3,Active
I3-62314,Bachelors,Pune,3,27,Male,Yes,5,Left
I3-86385,Bachelors,Pune,3,25,Male,No,3,Left
I1-38553,Bachelors,Bangalore,3,28,Male,No,1,Left
I3-47659,Masters,Pune,3,24,Male,No,2,Left
I1-56591,Bachelors,Bangalore,3,25,Male,Yes,3,Left
